AI2011,Programming for AI
CS118,Programming Fundamentals
CS211,Discrete Structures
CS217,Object Oriented Programming
CS218,Data Structures
CS220,Operating Systems
CS307,Computer Networks
CS328,Software Engineering
DS3011,Big Data Analytics
EE227,Digital Logic Design
EE229,Computer Organization & Assembly Language
MG220,Marketing Management
MG223,Fundamentals of Management
MT205,Probability and Statistics
SE110,Intro to Software Engineering
SS111,Islamic and Religious Studies
SS113,Pakistan Studies
SS118,Psychology
